match_id,inning,cum_runs,cum_wickets,current_run_rate,required_run_rate,target,batting_team,bowling_team,venue_canonical,win
335982,2,26.0,4.0,4.216216216216216,4.120481927710844,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,26.0,4.0,4.105263157894737,4.170731707317072,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,27.0,4.0,4.153846153846154,4.148148148148148,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,28.0,4.0,4.2,4.125,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,29.0,4.0,4.243902439024391,4.10126582278481,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,29.0,4.0,4.142857142857143,4.153846153846154,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,29.0,4.0,4.046511627906977,4.207792207792208,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,33.0,4.0,4.5,3.9473684210526314,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,34.0,4.0,4.744186046511628,3.8181818181818183,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,35.0,4.0,4.7727272727272725,3.789473684210526,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,36.0,4.0,4.8,3.76,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,38.0,4.0,4.956521739130435,3.648648648648649,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,38.0,5.0,4.851063829787234,3.698630136986301,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,38.0,5.0,4.75,3.75,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,38.0,5.0,4.653061224489797,3.8028169014084505,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,38.0,6.0,4.56,3.857142857142857,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,38.0,6.0,4.470588235294118,3.9130434782608696,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,39.0,6.0,4.5,3.8823529411764706,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,40.0,6.0,4.528301886792453,3.8507462686567164,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,41.0,6.0,4.555555555555555,3.8181818181818183,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,43.0,6.0,4.690909090909091,3.692307692307692,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,43.0,7.0,4.607142857142857,3.75,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,44.0,7.0,4.800000000000001,3.5999999999999996,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,44.0,7.0,4.714285714285714,3.65625,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,44.0,7.0,4.631578947368421,3.7142857142857144,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,45.0,7.0,4.655172413793104,3.6774193548387095,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,46.0,7.0,4.677966101694915,3.639344262295082,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,50.0,7.0,5.0,3.3,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,51.0,7.0,5.016393442622952,3.254237288135593,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,51.0,7.0,5.016393442622952,3.254237288135593,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,51.0,7.0,4.935483870967742,3.3103448275862073,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,51.0,7.0,4.857142857142857,3.3684210526315788,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,52.0,7.0,4.875,3.321428571428571,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,56.0,7.0,5.169230769230769,2.9454545454545458,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,56.0,7.0,5.090909090909091,3.0,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,57.0,8.0,5.104477611940299,2.943396226415094,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,57.0,8.0,5.029411764705882,3.0,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,57.0,8.0,4.956521739130435,3.0588235294117645,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,58.0,8.0,4.971428571428572,3.0,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,58.0,8.0,4.901408450704225,3.0612244897959187,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,59.0,8.0,4.916666666666667,3.0,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,65.0,8.0,5.342465753424658,2.2978723404255317,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,67.0,8.0,5.4324324324324325,2.0869565217391304,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,68.0,8.0,5.44,2.0,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,69.0,8.0,5.447368421052632,1.909090909090909,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,69.0,8.0,5.376623376623376,1.9534883720930234,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,69.0,8.0,5.307692307692308,2.0,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,70.0,8.0,5.316455696202532,1.9024390243902438,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,70.0,9.0,5.316455696202532,1.9024390243902438,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,71.0,9.0,5.325,1.8000000000000003,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,71.0,9.0,5.25925925925926,1.8461538461538463,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,71.0,9.0,5.195121951219512,1.894736842105263,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,71.0,9.0,5.132530120481928,1.945945945945946,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,77.0,9.0,5.5,1.0,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,78.0,9.0,5.505882352941176,0.8571428571428571,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,78.0,9.0,5.441860465116279,0.8823529411764707,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,78.0,9.0,5.379310344827586,0.9090909090909091,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,79.0,9.0,5.386363636363637,0.7499999999999999,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,80.0,9.0,5.393258426966292,0.5806451612903226,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,81.0,9.0,5.4,0.4,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,81.0,9.0,5.340659340659341,0.4137931034482758,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,82.0,9.0,5.406593406593407,0.2068965517241379,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335982,2,82.0,10.0,5.3478260869565215,0.2142857142857143,83.0,Royal Challengers Bangalore,Kolkata Knight Riders,Chinnaswamy Stadium,0
335983,2,4.0,0.0,24.0,10.285714285714286,208.0,Punjab Kings,Chennai Super Kings,PCA Stadium,0
335983,2,4.0,0.0,12.0,10.372881355932202,208.0,Punjab Kings,Chennai Super Kings,PCA Stadium,0
335983,2,4.0,0.0,8.0,10.461538461538462,208.0,Punjab Kings,Chennai Super Kings,PCA Stadium,0
335983,2,5.0,0.0,7.5,10.5,208.0,Punjab Kings,Chennai Super Kings,PCA Stadium,0
335983,2,5.0,0.0,6.0,10.591304347826087,208.0,Punjab Kings,Chennai Super Kings,PCA Stadium,0
335983,2,9.0,0.0,9.0,10.473684210526315,208.0,Punjab Kings,Chennai Super Kings,PCA Stadium,0
335983,2,10.0,0.0,8.571428571428571,10.513274336283187,208.0,Punjab Kings,Chennai Super Kings,PCA Stadium,0
